TIMESTAMP,Rainfall (inch)
10/1/2019 0:00,0
10/2/2019 0:00,0
10/3/2019 0:00,0
10/4/2019 0:00,0
10/5/2019 0:00,0
10/6/2019 0:00,0
10/7/2019 0:00,0
10/8/2019 0:00,0
10/9/2019 0:00,0
10/9/2019 0:00,0
10/10/2019 0:00,0
10/11/2019 0:00,0
10/12/2019 0:00,0
10/13/2019 0:00,0
10/14/2019 0:00,0
10/15/2019 0:00,0
10/16/2019 0:00,0
10/17/2019 0:00,0
10/18/2019 0:00,0
10/19/2019 0:00,0
10/20/2019 0:00,0
10/21/2019 0:00,0
10/22/2019 0:00,0
10/23/2019 0:00,0
10/24/2019 0:00,0
10/25/2019 0:00,0
10/26/2019 0:00,0
10/27/2019 0:00,0
10/28/2019 0:00,0
10/29/2019 0:00,0
10/30/2019 0:00,0
10/31/2019 0:00,0
11/1/2019 0:00,0
11/2/2019 0:00,0
11/3/2019 0:00,0
11/4/2019 0:00,0
11/5/2019 0:00,0
11/6/2019 0:00,0
11/7/2019 0:00,0
11/8/2019 0:00,0
11/9/2019 0:00,0
11/10/2019 0:00,0
11/11/2019 0:00,0
11/12/2019 0:00,0
11/13/2019 0:00,0
11/14/2019 0:00,0
11/15/2019 0:00,0
11/16/2019 0:00,0
11/17/2019 0:00,0
11/18/2019 0:00,0
11/19/2019 0:00,0
11/20/2019 0:00,0.43
11/21/2019 0:00,0.454
11/22/2019 0:00,0.932
11/23/2019 0:00,0
11/24/2019 0:00,0
11/25/2019 0:00,0
11/26/2019 0:00,0
11/27/2019 0:00,0.045
11/28/2019 0:00,0.177
11/29/2019 0:00,0
11/30/2019 0:00,0.952
12/1/2019 0:00,0
12/2/2019 0:00,0
12/3/2019 0:00,0
12/4/2019 0:00,0
12/5/2019 0:00,0.01
12/6/2019 0:00,0
12/7/2019 0:00,0
12/8/2019 0:00,0
12/9/2019 0:00,0.067
12/10/2019 0:00,0.298
12/11/2019 0:00,0
12/12/2019 0:00,0
12/13/2019 0:00,0
12/14/2019 0:00,0
12/15/2019 0:00,0
12/16/2019 0:00,0
12/17/2019 0:00,0
12/18/2019 0:00,0
12/19/2019 0:00,0
12/20/2019 0:00,0
12/21/2019 0:00,0
12/22/2019 0:00,0
12/23/2019 0:00,0
12/24/2019 0:00,0
12/25/2019 0:00,0.471
12/26/2019 0:00,0
12/27/2019 0:00,0
12/28/2019 0:00,0.574
12/29/2019 0:00,0
12/30/2019 0:00,0
12/31/2019 0:00,0
1/1/2020 0:00,0
1/2/2020 0:00,0
1/3/2020 0:00,0
1/4/2020 0:00,0
1/5/2020 0:00,0
1/6/2020 0:00,0
1/7/2020 0:00,0
1/8/2020 0:00,0
1/9/2020 0:00,0
1/10/2020 0:00,0.023
1/11/2020 0:00,0.086
1/12/2020 0:00,0
1/13/2020 0:00,0
1/14/2020 0:00,0
1/15/2020 0:00,0
1/16/2020 0:00,0
1/17/2020 0:00,0.306
1/18/2020 0:00,0
1/19/2020 0:00,0
1/20/2020 0:00,0
1/21/2020 0:00,0
1/22/2020 0:00,0.361
1/23/2020 0:00,0.02
1/24/2020 0:00,0
1/25/2020 0:00,0
1/26/2020 0:00,0
1/27/2020 0:00,0
1/28/2020 0:00,0
1/29/2020 0:00,0
1/30/2020 0:00,0
1/31/2020 0:00,0
2/1/2020 0:00,0
2/2/2020 0:00,0
2/3/2020 0:00,0
2/4/2020 0:00,0
2/5/2020 0:00,0
2/6/2020 0:00,0
2/7/2020 0:00,0
2/8/2020 0:00,0
2/9/2020 0:00,0
2/10/2020 0:00,0
2/11/2020 0:00,0.47
2/12/2020 0:00,0.17
2/13/2020 0:00,0
2/14/2020 0:00,0
2/15/2020 0:00,0
2/16/2020 0:00,0
2/17/2020 0:00,0
2/18/2020 0:00,0
2/19/2020 0:00,0
2/20/2020 0:00,0
2/21/2020 0:00,0
2/22/2020 0:00,0.011
2/23/2020 0:00,0.216
2/24/2020 0:00,0
2/25/2020 0:00,0
2/26/2020 0:00,0
2/27/2020 0:00,0
2/28/2020 0:00,0
2/29/2020 0:00,0
3/1/2020 0:00,0
3/2/2020 0:00,0
3/3/2020 0:00,0
3/4/2020 0:00,0.056
3/5/2020 0:00,0
3/6/2020 0:00,0
3/7/2020 0:00,0
3/8/2020 0:00,0
3/9/2020 0:00,0.149
3/10/2020 0:00,0
3/11/2020 0:00,0
3/12/2020 0:00,0.033
3/13/2020 0:00,0.044
3/14/2020 0:00,0
3/15/2020 0:00,0
3/16/2020 0:00,0
3/17/2020 0:00,0
3/18/2020 0:00,0
3/19/2020 0:00,0.365
3/20/2020 0:00,0
3/21/2020 0:00,0
3/22/2020 0:00,0
3/23/2020 0:00,0
3/24/2020 0:00,0
3/25/2020 0:00,0
3/26/2020 0:00,0
3/27/2020 0:00,0
3/28/2020 0:00,0.01
3/29/2020 0:00,0
3/30/2020 0:00,0
3/31/2020 0:00,0
4/1/2020 0:00,0
4/2/2020 0:00,0
4/3/2020 0:00,0
4/4/2020 0:00,0
4/5/2020 0:00,0
4/6/2020 0:00,0
4/7/2020 0:00,0
4/8/2020 0:00,0
4/9/2020 0:00,0
4/10/2020 0:00,0
4/11/2020 0:00,0
4/12/2020 0:00,0.088
4/13/2020 0:00,0
4/14/2020 0:00,0
4/15/2020 0:00,0
4/16/2020 0:00,0
4/17/2020 0:00,0
4/18/2020 0:00,0
4/19/2020 0:00,0
4/20/2020 0:00,0
4/21/2020 0:00,0
4/22/2020 0:00,0
4/23/2020 0:00,0
4/24/2020 0:00,0
4/25/2020 0:00,0
4/26/2020 0:00,0
4/27/2020 0:00,0
4/28/2020 0:00,0
4/29/2020 0:00,0
4/30/2020 0:00,0
